"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"desperately",1,2,2,3,1,0,1,1,0,0,2,4,0,0,0,3,0,0,3,2,0,2
"despite",2,0,1,0,0,2,0,1,0,0,0,6,1,0,1,0,1,1,2,0,1,0
"dials",1,3,0,0,0,3,0,1,0,0,1,1,1,3,0,0,0,1,0,1,1,0
"died",1,5,0,0,1,4,1,0,0,0,1,0,0,0,1,2,4,0,9,0,1,5
"dies",1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,3
"difference",2,0,0,1,0,1,1,0,0,0,2,0,1,0,3,0,0,1,1,0,1,2
"digs",2,3,0,4,0,0,0,2,0,1,2,1,0,0,0,1,0,3,1,0,0,0
"dining",1,2,1,0,0,0,2,2,0,1,0,0,4,0,1,2,0,1,0,0,0,0
"dinner",3,4,2,3,0,1,0,3,0,6,1,0,0,1,11,3,1,0,0,1,4,1
"direction",4,2,2,17,0,1,4,1,1,0,2,5,0,0,0,4,9,2,0,0,6,1
"directly",13,2,5,5,0,4,3,0,0,0,2,1,6,0,1,5,4,2,0,6,4,1
"dirty",1,1,0,1,1,2,2,1,0,0,4,0,0,0,0,0,1,2,1,0,0,1
"disappear",2,0,0,2,1,0,4,2,2,0,0,4,2,0,0,4,1,2,0,1,1,2
"disappearing",1,0,0,1,0,0,0,1,0,0,1,2,3,0,0,3,0,1,0,3,0,1
"disappears",2,1,4,4,3,0,2,0,3,0,1,5,3,0,0,3,0,2,1,5,3,1
"disbelief",5,2,0,2,0,0,5,0,1,0,1,1,1,0,0,2,0,0,0,0,1,0
"display",10,0,9,1,0,0,1,1,0,0,0,1,1,0,0,0,0,4,5,12,0,0
"dissolve",6,1,10,2,0,3,8,0,0,0,11,0,0,33,4,2,3,3,1,1,2,1
"distant",4,0,2,3,0,0,3,5,3,0,5,12,1,0,1,0,4,0,3,2,0,14
"dive",3,0,7,0,0,4,0,0,5,0,1,4,0,0,0,1,1,1,0,6,0,3
"dives",3,0,18,1,3,0,0,0,1,0,0,3,1,0,0,0,1,0,0,5,0,9
"doctor",14,4,3,0,5,0,5,0,0,0,5,0,0,63,4,4,0,5,0,9,6,2
"dollars",4,1,1,0,6,4,0,12,0,0,0,0,0,0,3,0,0,3,4,0,0,1
"doorway",11,6,1,8,0,2,0,2,0,0,1,1,1,12,0,3,5,4,0,2,3,4
"double",1,0,1,1,6,0,1,0,0,0,3,0,0,0,0,3,1,3,1,0,11,2
"doubt",1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,0,2,7,0
"dozen",4,1,2,9,1,0,1,0,2,0,1,1,0,2,1,2,0,8,1,2,0,12
"dozens",3,2,2,1,0,1,0,0,1,0,0,3,0,0,0,1,0,2,0,0,0,1
"drag",3,0,2,1,0,4,3,1,0,0,3,1,0,0,0,0,0,1,2,0,2,2
"drags",3,2,2,1,0,0,1,1,0,1,0,1,3,1,0,0,0,3,1,6,0,0
"draw",2,0,1,7,0,0,2,1,0,0,2,1,0,0,1,1,5,1,2,3,1,2
"draws",8,0,15,3,1,0,2,1,0,0,0,1,0,2,0,0,6,5,1,1,0,0
"dream",3,1,4,0,0,0,0,0,1,0,2,0,0,3,8,5,0,0,0,1,0,2
"dressed",7,2,1,4,1,1,1,0,0,0,11,0,2,1,3,3,0,3,0,1,14,0
"drinks",3,1,1,0,2,2,0,0,0,1,1,1,0,7,3,0,0,1,1,0,4,0
"driver",7,2,3,7,2,1,1,3,0,0,0,1,1,0,0,3,0,19,5,4,19,0
"drivers",3,6,4,1,0,0,1,4,0,0,1,0,3,0,0,1,0,6,3,1,0,0
"drives",1,0,4,1,3,6,3,8,0,0,5,1,0,5,0,6,1,1,3,0,2,5
"driving",2,0,2,0,1,4,1,7,1,0,2,0,0,2,1,3,0,4,5,3,4,1
"dropping",2,1,5,2,0,1,2,0,0,0,0,1,1,1,0,2,4,1,1,5,1,2
"drum",1,1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
"ducks",6,1,6,6,1,1,0,0,1,1,1,0,1,0,0,0,1,1,2,0,0,6
"dumps",2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,2,2,0,0,0
"dusk",4,3,6,16,0,0,0,1,0,0,3,1,0,2,0,0,0,4,13,0,0,1
"dust",4,2,3,8,1,1,1,0,0,3,3,2,0,0,0,0,43,2,1,1,2,3
"dying",1,8,4,0,0,2,0,0,0,0,0,0,1,0,5,5,0,0,3,1,0,1
"earlier",4,2,0,0,0,2,13,0,0,0,1,0,3,0,2,2,0,2,0,1,4,1
"ears",4,0,4,7,0,0,0,2,0,1,5,0,2,0,1,2,0,1,2,1,3,4
"earth",2,0,10,8,3,0,0,1,5,0,1,2,1,0,0,0,2,19,0,1,3,1
"east",6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,2,0,2,1,1,0,4
"echoes",2,0,6,2,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,1
"eight",3,1,1,1,0,3,2,1,1,0,5,0,0,2,0,0,2,6,4,7,6,3
"emerge",2,1,4,0,3,1,0,0,1,0,0,0,1,0,0,5,0,0,1,0,2,0
"emerges",4,1,4,2,1,2,0,4,1,0,1,1,5,0,0,0,4,1,2,0,1,0
"ends",2,2,3,0,1,0,1,2,0,1,1,1,0,1,1,3,3,0,2,0,2,1
"engaged",1,0,1,2,1,5,0,0,1,0,0,0,0,0,6,1,1,0,1,0,0,0
"engine",1,0,1,0,0,4,1,2,1,0,1,5,1,0,0,4,14,4,2,4,0,0
"english",1,0,5,8,3,0,2,0,0,0,0,0,0,0,6,0,0,1,1,3,57,2
"enjoying",1,1,0,2,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,2,0
"enormous",9,2,19,0,3,2,0,0,2,0,0,4,1,2,0,5,1,9,2,0,2,2
"entrance",4,6,1,8,1,1,2,0,0,2,0,1,0,15,0,2,8,2,8,3,7,0
"equipment",3,1,5,1,4,1,0,0,0,0,0,0,3,0,0,0,3,4,4,9,2,2
"erupts",3,1,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,2,2,0,0
